DATE_KEY,Year,Quarter,Month,Day,Sum of DAY,Sum of MONTH,MONTH_NAME,Sum of QUARTER,Sum of YEAR,DAY_NAME
94b225b5b1f09ecd5e8ecdfb681ff04c,2013,Qtr 3,August,28,28,8,Augth,3,2013,Day
94c60e0b5e2b0f78b919a5d4c67d70a2,2013,Qtr 3,July,27,27,7,Julth,3,2013,Day
95103530881768b5cfc7e33970db9cd7,2013,Qtr 3,July,31,31,7,Julth,3,2013,Day
9592b44e2c3f304a9875f45537bec6eb,2013,Qtr 4,December,22,22,12,Decth,4,2013,Day
95a2a9aefc393f8630e934768cacf4cd,2013,Qtr 4,December,14,14,12,Decth,4,2013,Day
95c18655480c149d1174efe4e25df34e,2012,Qtr 3,July,25,25,7,Julth,3,2012,Day
95ddec41f799217977c3384c83bfb0ca,2012,Qtr 4,October,22,22,10,Octth,4,2012,Day
95f5058cb388519abd9105f555ae7591,2011,Qtr 3,August,10,10,8,Augth,3,2011,Day
962bae2fb03296a3b9cacabfa929322c,2013,Qtr 4,November,6,6,11,Novth,4,2013,Day
965627dc7fa4e47d5a66206f93683145,2011,Qtr 3,July,30,30,7,Julth,3,2011,Day
968e9a4bab3af2e071a27db638e363e6,2012,Qtr 4,October,18,18,10,Octth,4,2012,Day
96a3262695f10a59b726f3dfd4782c4d,2013,Qtr 1,January,20,20,1,Janth,1,2013,Day
96d3e865edc2fe5309f3c81d7966ce52,2011,Qtr 3,July,9,9,7,Julth,3,2011,Day
9712d7a71de3e6d17935b90960bdaceb,2012,Qtr 1,March,29,29,3,Marth,1,2012,Day
9795c57676ee8b8b6ba9a6f9014a520b,2014,Qtr 1,January,4,4,1,Janth,1,2014,Day
97a385eedf715bd7450079b92de22ba2,2012,Qtr 2,April,17,17,4,Aprth,2,2012,Day
97b600823b984a4660a5f3a54c1365de,2011,Qtr 2,June,15,15,6,Junth,2,2011,Day
97cd5e56c90f7c4d613dc94c51d72999,2011,Qtr 3,September,26,26,9,Septh,3,2011,Day
